size,density,alpha,beta, population, generations, offspring,  baseline_cost,ga_cost,improvement %,elapsed_time_min,is_valid,challenge, split_probability
10,0.1,0.0,0.1,10,100, 6, 39.96,7.79,19.50,0.00,True,WIN,0.9
10,0.1,0.0,0.5,10,100, 6, 39.96,7.79,19.50,0.00,True,WIN,0.75
10,0.1,0.0,1.0,10,100, 6, 39.96,7.79,19.50,0.00,True,WIN,0.51
10,0.1,0.0,2.0,10,100, 6, 39.96,7.79,19.50,0.00,True,WIN,0.1
10,0.1,0.0,4.0,10,100, 6, 39.96,7.79,19.50,0.00,True,WIN,0.1
10,0.1,0.0,5.0,10,100, 6, 39.96,7.79,19.50,0.00,True,WIN,0.1
10,0.1,0.1,0.1,10,100, 6, 82.21,22.41,27.26,0.00,True,WIN,0.9
10,0.1,0.1,0.5,10,100, 6, 199.24,91.43,45.89,0.00,True,WIN,0.75
10,0.1,0.1,1.0,10,100, 6, 1010.95,986.15,97.55,0.00,True,WIN,0.49
10,0.1,0.1,2.0,10,100, 6, 47369.33,2285.51,4.82,0.00,True,WIN,0.1
10,0.1,0.1,4.0,10,100, 6, 170807712.02,2254.49,0.00,0.00,True,WIN,0.1
10,0.1,0.1,5.0,10,100, 6, 11188853196.75,2188.13,0.00,0.00,True,WIN,0.1
10,0.1,1.0,0.1,10,100, 6, 93.15,26.70,28.66,0.00,True,WIN,0.9
10,0.1,1.0,0.5,10,100, 6, 543.67,278.49,51.22,0.00,True,WIN,0.75
10,0.1,1.0,1.0,10,100, 6, 9749.92,9725.11,99.75,0.00,True,WIN,0.31
10,0.1,1.0,2.0,10,100, 6, 4732977.40,22857.75,0.48,0.00,True,WIN,0.1
10,0.1,1.0,4.0,10,100, 6, 1708076720632.71,22535.49,0.00,0.00,True,WIN,0.1
10,0.1,1.0,5.0,10,100, 6, 1118885315678829.12,21871.34,0.00,0.00,True,WIN,0.1
10,0.1,2.0,0.1,10,100, 6, 96.97,28.19,29.07,0.00,True,WIN,0.9
10,0.1,2.0,0.5,10,100, 6, 752.31,391.81,52.08,0.00,True,WIN,0.75
10,0.1,2.0,1.0,10,100, 6, 19459.87,19435.07,99.87,0.00,True,WIN,0.10999999999999999
10,0.1,2.0,2.0,10,100, 6, 18931789.71,45799.71,0.24,0.00,True,WIN,0.1
10,0.1,2.0,4.0,10,100, 6, 27329227529523.97,45530.93,0.00,0.00,True,WIN,0.1
10,0.1,2.0,5.0,10,100, 6, 35804330101721292.00,44400.98,0.00,0.00,True,WIN,0.1
10,0.1,4.0,0.1,10,100, 6, 101.06,29.79,29.48,0.00,True,WIN,0.9
10,0.1,4.0,0.5,10,100, 6, 1047.37,552.07,52.71,0.00,True,WIN,0.75
10,0.1,4.0,1.0,10,100, 6, 38879.79,38854.89,99.94,0.00,True,WIN,0.1
10,0.1,4.0,2.0,10,100, 6, 75727038.98,94744.48,0.13,0.00,True,WIN,0.1
10,0.1,4.0,4.0,10,100, 6, 437267640471784.12,176193.53,0.00,0.00,True,WIN,0.1
10,0.1,4.0,5.0,10,100, 6, 1145738563255080064.00,272569.62,0.00,0.00,True,WIN,0.1
10,0.1,5.0,0.1,10,100, 6, 102.44,25.15,24.55,0.00,True,WIN,0.9
10,0.1,5.0,0.5,10,100, 6, 1166.28,616.65,52.87,0.00,True,WIN,0.75
10,0.1,5.0,1.0,10,100, 6, 48589.75,48564.84,99.95,0.00,True,WIN,0.1
10,0.1,5.0,2.0,10,100, 6, 118323475.93,125717.24,0.11,0.00,True,WIN,0.1
10,0.1,5.0,4.0,10,100, 6, 1067547950370509.00,364817.66,0.00,0.00,True,WIN,0.1
10,0.1,5.0,5.0,10,100, 6, 3496516611496216576.00,733782.24,0.00,0.00,True,WIN,0.1
10,0.2,0.0,0.1,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.9
10,0.2,0.0,0.5,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.75
10,0.2,0.0,1.0,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.51
10,0.2,0.0,2.0,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.1
10,0.2,0.0,4.0,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.1
10,0.2,0.0,5.0,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.1
10,0.2,0.1,0.1,10,100, 6, 42.35,18.79,44.37,0.00,True,WIN,0.9
10,0.2,0.1,0.5,10,100, 6, 106.79,74.26,69.54,0.00,True,WIN,0.75
10,0.2,0.1,1.0,10,100, 6, 504.71,495.19,98.11,0.00,True,WIN,0.49
10,0.2,0.1,2.0,10,100, 6, 18375.19,952.25,5.18,0.00,True,WIN,0.1
