size,density,alpha,beta,my_ga_cost,davide_solution,my_time_sec,davide_time,my_status,davide_status
10,0.2,0.0,0.5,5.27,4.61,0.0,0.003,True,✅ WIN
10,0.2,0.0,1.0,5.27,4.61,0.0,0.001,True,✅ WIN
10,0.2,0.0,2.0,5.27,4.61,0.0,0.001,True,✅ WIN
10,0.2,1.0,2.0,69188.43,12118.43,0.0,0.008,True,✅ WIN
10,0.2,2.0,2.0,295527.41,19409.26,0.0,0.007,True,✅ WIN
10,0.5,0.0,0.5,4.41,4.21,0.0,0.002,True,✅ WIN
10,0.5,0.0,1.0,4.41,4.21,0.0,0.001,True,✅ WIN
10,0.5,0.0,2.0,4.41,4.21,0.0,0.002,True,✅ WIN
10,0.5,1.0,2.0,19288.0,4949.45,0.0,0.004,True,✅ WIN
10,0.5,2.0,2.0,76569.3,7355.94,0.0,0.006,True,✅ WIN
10,1.0,0.0,0.5,2.91,2.83,0.0,0.003,True,✅ WIN
10,1.0,0.0,1.0,2.91,2.83,0.0,0.004,True,✅ WIN
10,1.0,0.0,2.0,2.91,2.83,0.0,0.003,True,✅ WIN
10,1.0,1.0,2.0,19007.91,4484.35,0.0,0.006,True,✅ WIN
10,1.0,2.0,2.0,82746.46,6844.58,0.0,0.003,True,✅ WIN
50,0.2,0.0,0.5,16.82,16.58,0.0,0.271,True,✅ WIN
50,0.2,0.0,1.0,16.82,16.58,0.0,0.427,True,✅ WIN
50,0.2,0.0,2.0,16.82,16.58,0.0,0.31,True,✅ WIN
50,0.2,1.0,1.0,12887.41,12885.36,0.6,0.325,True,✅ WIN
50,0.2,1.0,2.0,102766.42,22370.46,7.800000000000001,0.015,True,✅ WIN
50,0.2,2.0,1.0,25729.9,25728.97,0.6,0.241,True,✅ WIN
50,0.2,2.0,2.0,380462.34,60404.31,6.6,0.015,True,✅ WIN
50,0.5,1.0,1.0,9400.56,9398.61,0.6,0.46,True,✅ WIN
50,0.5,1.0,2.0,78005.6,16137.06,6.0,0.011,True,✅ WIN
50,0.5,2.0,1.0,18770.03,18769.74,0.6,0.744,True,✅ WIN
50,0.5,2.0,2.0,310933.57,43254.76,6.0,0.02,True,✅ WIN
50,1.0,1.0,0.5,573.47,571.07,0.6,0.847,True,✅ WIN
50,1.0,1.0,1.0,8662.32,8657.77,0.0,0.815,True,✅ WIN
50,1.0,1.0,2.0,87899.95,16886.44,4.8,0.016,True,✅ WIN
50,1.0,2.0,1.0,17289.0,17286.4,0.0,0.839,True,✅ WIN
50,1.0,2.0,2.0,341784.04,47551.59,4.2,0.013,True,✅ WIN
100,0.2,0.0,0.5,21.11,20.58,0.0,3.496,True,✅ WIN
100,0.2,0.0,1.0,21.11,20.58,0.0,3.883,True,✅ WIN
100,0.2,0.0,2.0,21.11,20.58,0.0,3.879,True,✅ WIN
100,0.2,1.0,1.0,25238.52,25233.49,1.7999999999999998,3.501,True,✅ WIN
100,0.2,1.0,2.0,262691.4,60775.62,1.2,0.015,True,✅ WIN
100,0.2,2.0,1.0,50398.2,50393.06,1.7999999999999998,4.021,True,✅ WIN
100,0.2,2.0,2.0,1165499.84,212064.01,1.2,0.023,True,✅ WIN
100,0.5,1.0,1.0,18801.33,18794.04,1.7999999999999998,6.35,True,✅ WIN
100,0.5,1.0,2.0,197009.71,51889.72,1.2,0.019,True,✅ WIN
100,0.5,2.0,1.0,37536.03,37528.97,1.2,6.345,True,✅ WIN
100,0.5,2.0,2.0,766662.74,184982.28,1.2,0.019,True,✅ WIN
100,1.0,1.0,0.5,1087.59,1068.75,1.7999999999999998,11.692,True,✅ WIN
100,1.0,1.0,1.0,18262.02,18253.34,2.4,12.361,True,✅ WIN
100,1.0,1.0,2.0,217268.03,58378.85,1.2,0.024,True,✅ WIN
100,1.0,2.0,0.5,1526.86,1500.11,1.2,12.184,True,✅ WIN
100,1.0,2.0,1.0,36455.05,36447.9,1.7999999999999998,11.036,True,✅ WIN
100,1.0,2.0,2.0,864240.51,211536.47,1.2,0.024,True,✅ WIN
1000,0.5,1.0,1.0,193135.04,193100.79,234.60000000000002,210.326,True,✅ WIN
1000,0.5,2.0,1.0,385637.48,385574.12,219.0,208.917,True,✅ WIN
1000,1.0,1.0,1.0,192795.23,192516.2,1815.6000000000001,215.127,True,✅ WIN
1000,1.0,2.0,1.0,385000.59,384722.07,663.6,219.83,True,✅ WIN
