size,density,alpha,beta, population, generations, offspring,  baseline_cost,ga_cost,improvement %,elapsed_time_min,is_valid,challenge, split_probability
10,0.2,0.0,0.5,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.75
10,0.2,0.0,1.0,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.51
10,0.2,0.0,2.0,10,100, 6, 16.76,5.27,31.48,0.00,True,WIN,0.1
10,0.2,1.0,0.5,10,100, 6, 301.47,213.24,70.73,0.00,True,WIN,0.75
10,0.2,1.0,1.0,10,100, 6, 4896.29,4887.26,99.82,0.00,True,WIN,0.31
10,0.2,1.0,2.0,10,100, 6, 1835859.98,12118.15,0.66,0.00,True,WIN,0.1
10,0.2,2.0,0.5,10,100, 6, 419.40,298.01,71.06,0.00,True,WIN,0.75
10,0.2,2.0,1.0,10,100, 6, 9775.81,9766.29,99.90,0.01,True,WIN,0.10999999999999999
10,0.2,2.0,2.0,10,100, 6, 7343389.65,19408.99,0.26,0.00,True,WIN,0.1
10,0.5,0.0,0.5,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.75
10,0.5,0.0,1.0,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.51
10,0.5,0.0,2.0,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.1
10,0.5,1.0,0.5,10,100, 6, 150.77,132.78,88.07,0.00,True,WIN,0.75
10,0.5,1.0,1.0,10,100, 6, 2100.68,2098.32,99.89,0.00,True,WIN,0.31
10,0.5,1.0,2.0,10,100, 6, 551113.65,4949.17,0.90,0.00,True,WIN,0.1
10,0.5,2.0,0.5,10,100, 6, 209.85,185.60,88.44,0.00,True,WIN,0.75
10,0.5,2.0,1.0,10,100, 6, 4193.20,4190.84,99.94,0.00,True,WIN,0.10999999999999999
10,0.5,2.0,2.0,10,100, 6, 2204430.12,7355.66,0.33,0.00,True,WIN,0.1
10,1.0,0.0,0.5,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.75
10,1.0,0.0,1.0,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.51
10,1.0,0.0,2.0,10,100, 6, 7.34,2.91,39.65,0.00,True,WIN,0.1
10,1.0,1.0,0.5,10,100, 6, 127.74,118.64,92.87,0.00,True,WIN,0.75
10,1.0,1.0,1.0,10,100, 6, 1871.77,1871.15,99.97,0.00,True,WIN,0.31
10,1.0,1.0,2.0,10,100, 6, 544978.88,4484.07,0.82,0.00,True,WIN,0.1
10,1.0,2.0,0.5,10,100, 6, 177.61,166.08,93.51,0.00,True,WIN,0.75
10,1.0,2.0,1.0,10,100, 6, 3736.21,3735.59,99.98,0.00,True,WIN,0.10999999999999999
10,1.0,2.0,2.0,10,100, 6, 2179893.51,6844.30,0.31,0.00,True,WIN,0.1
